name,lat,lng,address,google_maps_url,place_id,cid,google_name,status
TRẠM THU PHÍ BẮC BÌNH ĐỊNH,14.3971237,109.0178425,"92W9+R4W, AH1, Bồng Sơn, Gia Lai, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+B%E1%BA%AFc+B%C3%ACnh+%C4%90%E1%BB%8Bnh/@14.3971237,109.0178425,17z/data=!3m1!4b1!4m6!3m5!1s0x3168cfc13d831721:0x6adeb85cc894a565!8m2!3d14.3971237!4d109.0178425!16s%2Fg%2F11f15ht1rt?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x3168cfc13d831721:0x6adeb85cc894a565,Trạm Thu phí Bắc Bình Định,1
TRẠM THU PHÍ NAM BÌNH ĐỊNH,13.871314,109.1254223,"V4CG+G5F, AH1, An Nhơn Nam, Gia Lai, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Nam+B%C3%ACnh+%C4%90%E1%BB%8Bnh/@13.871314,109.1254223,17z/data=!3m1!4b1!4m6!3m5!1s0x316f158e2d78bc5b:0x343baadefce11542!8m2!3d13.871314!4d109.1254223!16s%2Fg%2F11cm1sqjy1?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x316f158e2d78bc5b:0x343baadefce11542,Trạm Thu phí Nam Bình Định,1
TRẠM THU PHÍ ĐÔNG HƯNG,20.5588202,106.3680508,"H959+G6F, Unnamed, Road, Đông Hưng, Hưng Yên, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+%C4%90%C3%B4ng+H%C6%B0ng/@20.5588202,106.3680508,17z/data=!3m1!4b1!4m6!3m5!1s0x3135f1b207fca00d:0x428ce67d76d2a404!8m2!3d20.5588202!4d106.3680508!16s%2Fg%2F11jn_wbm53?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x3135f1b207fca00d:0x428ce67d76d2a404,Trạm Thu phí Đông Hưng,1
TRẠM THU PHÍ MỸ LỘC,20.4475087,106.1197479,"C4X9+2V5, Mỹ Lộc, Ninh Bình, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+M%E1%BB%B9+L%E1%BB%99c/@20.4475087,106.1197479,17z/data=!3m1!4b1!4m6!3m5!1s0x3135ddc84cbe6d71:0xa282c51b7390d023!8m2!3d20.4475087!4d106.1197479!16s%2Fg%2F11c0xrzq1c?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x3135ddc84cbe6d71:0xa282c51b7390d023,Trạm Thu phí Mỹ Lộc,1
TRẠM THU PHÍ CAI LẬY ( CAO TỐC TRUNG LƯƠNG- MỸ THUẬN),10.3175446,105.8801164,"8V9J+62, Thanh Hưng, Đồng Tháp, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Cao+T%E1%BB%91c+Trung+L%C6%B0%C6%A1ng+-+M%E1%BB%B9+Thu%E1%BA%ADn/@10.3175446,105.8801164,17z/data=!3m1!4b1!4m6!3m5!1s0x310a85de63ba9bdb:0x8d4e8510e00683ae!8m2!3d10.3175446!4d105.8801164!16s%2Fg%2F11rncst8dm?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x310a85de63ba9bdb:0x8d4e8510e00683ae,Trạm Thu phí Cao Tốc Trung Lương - Mỹ Thuận,1
Trạm thu phí Thân Cửu Nghĩa,10.4310606,106.3155488,"C8J8+C6F, Đường Cao Tốc TPHCM - Trung Lương, Long Hưng, Đồng Tháp, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+thu+ph%C3%AD+Th%C3%A2n+C%E1%BB%ADu+Ngh%C4%A9a/@10.4310606,106.3155488,17z/data=!3m1!4b1!4m6!3m5!1s0x310abb00187a7501:0xb4370397affa4843!8m2!3d10.4310606!4d106.3155488!16s%2Fg%2F11ytk863p5?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x310abb00187a7501:0xb4370397affa4843,Trạm thu phí Thân Cửu Nghĩa,1
TRẠM THU PHÍ CAI LẬY ( QUỐC LỘ 1A),10.4101123,106.0605441,"C366+26V, Bình Phú, Đồng Tháp, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Cai+L%E1%BA%ADy/@10.4101123,106.0605441,17z/data=!3m1!4b1!4m6!3m5!1s0x310a90ca7c470ed9:0x319f12b56fc96bc!8m2!3d10.4101123!4d106.0605441!16s%2Fg%2F11fy4htjk8?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x310a90ca7c470ed9:0x319f12b56fc96bc,Trạm Thu phí Cai Lậy,1
TRẠM THU PHÍ CAM THỊNH ( KHÁNH HÒA),11.8724221,109.1085221,"V4C5+XC6, AH1, Nam Cam Ranh, Khánh Hòa, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Cam+Th%E1%BB%8Bnh/@11.8724221,109.1085221,17z/data=!3m1!4b1!4m6!3m5!1s0x3170ec11a54e6a3b:0xea4b65a46949a0b6!8m2!3d11.8724221!4d109.1085221!16s%2Fg%2F11c72r_xh5?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x3170ec11a54e6a3b:0xea4b65a46949a0b6,Trạm Thu phí Cam Thịnh,1
TRẠM THU PHÍ CAM RANH KM52,11.8724221,109.1085221,"V4C5+XC6, AH1, Nam Cam Ranh, Khánh Hòa, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Cam+Th%E1%BB%8Bnh/@11.8724221,109.1085221,17z/data=!3m1!4b1!4m6!3m5!1s0x3170ec11a54e6a3b:0xea4b65a46949a0b6!8m2!3d11.8724221!4d109.1085221!16s%2Fg%2F11c72r_xh5?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x3170ec11a54e6a3b:0xea4b65a46949a0b6,Trạm Thu phí Cam Thịnh,1
TRẠM THU PHÍ CAM LÂM KM30,12.057288,109.1246321,"1998 Bãi Giếng - Trung Hiệp, Cam Lâm, Khánh Hòa, Việt Nam","https://www.google.com/maps/place/Tr%E1%BA%A1m+Thu+ph%C3%AD+Cam+L%C3%A2m/@12.057288,109.1246321,17z/data=!3m1!4b1!4m6!3m5!1s0x3170f5005d14d789:0x93538b7077e7957f!8m2!3d12.057288!4d109.1246321!16s%2Fg%2F11vz7ttwy6?entry=ttu&g_ep=EgoyMDI2MDYwMS4wIKXMDSoASAFQAw%3D%3D",,0x3170f5005d14d789:0x93538b7077e7957f,Trạm Thu phí Cam Lâm,1
