object_id,object_type,current_name,suggested_name,suggested_action,issue_types,province,road,lat,lon
vn-toll-gmaps-chiju33vcouzdterplbzmsffqdo,toll_station,Trạm thu phí 319 HLD,Trạm thu phí 319 HLD,keep,osm_placeholder_name;multiple_name_variants;source_name_conflict,Đồng Nai,,10.768771,106.92285
vn-toll-gmaps-chij29z21fwxbzersldvctwexyc,toll_station,Trạm thu phí An Dân,Trạm thu phí An Dân,keep,multiple_name_variants,Đắk Lắk,QL1A,13.3493,109.208309
vn-toll-clean-089,toll_station,Trạm thu phí An Hiệp,Trạm thu phí An Hiệp,keep,,Cần Thơ,,9.6596264,105.9312819
vn-toll-gmaps-chijzau1-ogfcjer9vtfj6wdmti,toll_station,Trạm thu phí An Hữu - cao tốc Mỹ Thuận - Cần Thơ,Trạm thu phí An Hữu - cao tốc Mỹ Thuận - Cần Thơ,keep,multiple_name_variants,Đồng Tháp,Cao Tốc 8V8P,10.317215,105.885382
vn-toll-gmaps-chijuy91ddkjnterofqatacxwy8,toll_station,Trạm thu phí An Lão,Trạm thu phí An Lão,keep,,Hải Phòng,,20.799313,106.523135
vn-toll-clean-077,toll_station,Trạm thu phí An Sương - An Lạc,Trạm thu phí An Sương - An Lạc,keep,,Hồ Chí Minh,QL1A,10.7949827,106.5966321
vn-toll-gmaps-chijx-yktrabszerdy-sngzpn-c,toll_station,Trạm thu phí BOT Biên Cương,Trạm thu phí BOT Biên Cương,keep,,Quảng Ninh,,21.009102,107.354951
vn-toll-gmaps-chijs7u-3i-jcternihgdqa3bji,toll_station,Trạm thu phí BOT Quang Đức Quốc lộ 14,Trạm thu phí BOT Quang Đức Quốc lộ 14,keep,osm_placeholder_name;multiple_name_variants;source_name_conflict,Đắk Lắk,QL14,12.830902,108.248057
vn-toll-clean-046,toll_station,Trạm thu phí BOT Thanh Nê,Trạm thu phí BOT Thanh Nê,keep,,Hưng Yên,,20.3915191,106.4301286
vn-toll-gmaps-chijcvemggcxnterpqgmbpxjwbc,toll_station,Trạm thu phí Bình Giang,Trạm thu phí Bình Giang,keep,osm_placeholder_name;source_name_conflict,Hải Phòng,,20.850998,106.202547
vn-toll-gmaps-chijg7oddgr7nderqntflucdusi,toll_station,Trạm thu phí Bình Xuyên (IC3),Trạm thu phí Bình Xuyên (IC3),keep,,Phú Thọ,,21.279366,105.669267
vn-toll-clean-082,toll_station,Trạm thu phí Bù Nho,Trạm thu phí Bù Nho,keep,,Đồng Nai,ĐT741,11.7275712,106.8751126
vn-toll-gmaps-chijz0jdhhggoteru0rs7axzots,toll_station,Trạm thu phí Bạc Liêu,Trạm thu phí Bạc Liêu,keep,,Cà Mau,,9.374352,105.712277
vn-toll-gmaps-chijiredpchpaderzawuyfy43mo,toll_station,Trạm thu phí Bắc Bình Định,Trạm thu phí Bắc Bình Định,keep,,Bình Định,,14.397124,109.017843
vn-toll-gmaps-chijjz33lwwtaterpqndaejlzy4,toll_station,Trạm thu phí Bắc Quảng Ngãi,Trạm thu phí Bắc Quảng Ngãi,keep,,Quảng Ngãi,,15.15787,108.751739
vn-toll-gmaps-chijbqk091h9nder80iyuxu9ckq,toll_station,Trạm thu phí Bắc Thăng Long - Nội Bài,Trạm thu phí Bắc Thăng Long - Nội Bài,keep,osm_road_name_as_object_name;source_name_conflict,Hà Nội,,21.203178,105.77953
vn-toll-gmaps-chijn4fa8utmcjerr8zi6wu9oiu,toll_station,Trạm thu phí Bến Lức,Trạm thu phí Bến Lức,keep,osm_road_name_as_object_name;source_name_conflict;missing_road_context,Tây Ninh,,10.656005,106.473537
vn-toll-gmaps-chijny0tnjdmoterqgz5mdb3vqu,toll_station,Trạm thu phí Bến Thủy,Trạm thu phí Bến Thủy,keep,,Nghệ An,,18.648611,105.704591
vn-toll-clean-080,toll_station,Trạm thu phí Cai Chanh,Trạm thu phí Cai Chanh,keep,,Lâm Đồng,,11.9121874,107.3905139
vn-toll-gmaps-chij2q5hfmqqcjervjb8vivxgqm,toll_station,Trạm thu phí Cai Lậy,Trạm thu phí Cai Lậy,keep,,Đồng Tháp,,10.410112,106.060544
vn-toll-clean-071,toll_station,Trạm thu phí Cam Lâm,Trạm thu phí Cam Lâm,keep,,Khánh Hòa,,12.057288,109.1246321
vn-toll-clean-007,toll_station,Trạm thu phí Cam Thịnh,Trạm thu phí Cam Thịnh,keep,,Khánh Hòa,,11.8724221,109.1085221
final-ChIJ-cUWDQN3NjERssQ2fMiAUBw,toll_station,Trạm thu phí Cao Bồ,Trạm thu phí Cao Bồ,keep,osm_road_name_as_object_name;source_name_conflict;missing_province_context;missing_road_context,,,20.1664286,105.8628399
