object_id,object_type,current_name,suggested_name,issue_type,severity,reason,candidate_names,province,road,lat,lon
vn-toll-gmaps-chiju33vcouzdterplbzmsffqdo,toll_station,Trạm thu phí 319 HLD,Trạm thu phí 319 HLD,osm_placeholder_name,medium,matched OSM name is placeholder,Trạm thu phí 319 HLD | OSM toll 1223191092 | Trạm Thu phí 319 HLD | Trạm Thu phí 319 HLD | TRẠM THU PHÍ BOT 319 | Trạm Thu phí 319 HLD | Trạm thu phí 319 HLD,Đồng Nai,,10.768771,106.92285
vn-toll-gmaps-chiju33vcouzdterplbzmsffqdo,toll_station,Trạm thu phí 319 HLD,Trạm thu phí 319 HLD,multiple_name_variants,medium,found 3 distinct candidate names,Trạm thu phí 319 HLD | OSM toll 1223191092 | Trạm Thu phí 319 HLD | Trạm Thu phí 319 HLD | TRẠM THU PHÍ BOT 319 | Trạm Thu phí 319 HLD | Trạm thu phí 319 HLD,Đồng Nai,,10.768771,106.92285
vn-toll-gmaps-chiju33vcouzdterplbzmsffqdo,toll_station,Trạm thu phí 319 HLD,Trạm thu phí 319 HLD,source_name_conflict,medium,current name differs from OSM name: OSM toll 1223191092,Trạm thu phí 319 HLD | OSM toll 1223191092 | Trạm Thu phí 319 HLD | Trạm Thu phí 319 HLD | TRẠM THU PHÍ BOT 319 | Trạm Thu phí 319 HLD | Trạm thu phí 319 HLD,Đồng Nai,,10.768771,106.92285
vn-toll-gmaps-chij29z21fwxbzersldvctwexyc,toll_station,Trạm thu phí An Dân,Trạm thu phí An Dân,multiple_name_variants,medium,found 3 distinct candidate names,Trạm thu phí An Dân | Trạm Thu Phí An Dân (Thạch Bàn) | QL1A | Trạm thu phí An Dân,Đắk Lắk,QL1A,13.3493,109.208309
vn-toll-gmaps-chijzau1-ogfcjer9vtfj6wdmti,toll_station,Trạm thu phí An Hữu - cao tốc Mỹ Thuận - Cần Thơ,Trạm thu phí An Hữu - cao tốc Mỹ Thuận - Cần Thơ,multiple_name_variants,medium,found 5 distinct candidate names,Trạm thu phí An Hữu - cao tốc Mỹ Thuận - Cần Thơ | Trạm Thu phí An Thái Trung | Cao Tốc 8V8P | Trạm thu phí An Hữu - cao tốc Mỹ Thuận - Cần Thơ | Trạm thu phí lối vào cao tốc | Trạm Thu phí An Thái Trung ( cục vàng đứng 24/24) | Trạm Thu phí An Thái Trung ( cục vàng đứng 24/24) | Trạm thu phí An Hữu - cao tốc Mỹ Thuận - Cần Thơ,Đồng Tháp,Cao Tốc 8V8P,10.317215,105.885382
vn-toll-gmaps-chijs7u-3i-jcternihgdqa3bji,toll_station,Trạm thu phí BOT Quang Đức Quốc lộ 14,Trạm thu phí BOT Quang Đức Quốc lộ 14,osm_placeholder_name,medium,matched OSM name is placeholder,Trạm thu phí BOT Quang Đức Quốc lộ 14 | OSM toll 13077408419 | QL14 | Trạm Thu Phí BOT Quang Đức QL14 | Trạm Thu Phí BOT Quang Đức QL14 | Trạm thu phí BOT Quang Đức Quốc lộ 14,Đắk Lắk,QL14,12.830902,108.248057
vn-toll-gmaps-chijs7u-3i-jcternihgdqa3bji,toll_station,Trạm thu phí BOT Quang Đức Quốc lộ 14,Trạm thu phí BOT Quang Đức Quốc lộ 14,multiple_name_variants,medium,found 3 distinct candidate names,Trạm thu phí BOT Quang Đức Quốc lộ 14 | OSM toll 13077408419 | QL14 | Trạm Thu Phí BOT Quang Đức QL14 | Trạm Thu Phí BOT Quang Đức QL14 | Trạm thu phí BOT Quang Đức Quốc lộ 14,Đắk Lắk,QL14,12.830902,108.248057
vn-toll-gmaps-chijs7u-3i-jcternihgdqa3bji,toll_station,Trạm thu phí BOT Quang Đức Quốc lộ 14,Trạm thu phí BOT Quang Đức Quốc lộ 14,source_name_conflict,medium,current name differs from OSM name: OSM toll 13077408419,Trạm thu phí BOT Quang Đức Quốc lộ 14 | OSM toll 13077408419 | QL14 | Trạm Thu Phí BOT Quang Đức QL14 | Trạm Thu Phí BOT Quang Đức QL14 | Trạm thu phí BOT Quang Đức Quốc lộ 14,Đắk Lắk,QL14,12.830902,108.248057
vn-toll-gmaps-chijcvemggcxnterpqgmbpxjwbc,toll_station,Trạm thu phí Bình Giang,Trạm thu phí Bình Giang,osm_placeholder_name,medium,matched OSM name is placeholder,Trạm thu phí Bình Giang | OSM toll 11946078822 | Trạm Thu phí Bình Giang | Trạm Thu phí Bình Giang | Trạm Thu phí Bình Giang | Trạm Thu phí Bình Giang | Trạm thu phí Bình Giang,Hải Phòng,,20.850998,106.202547
vn-toll-gmaps-chijcvemggcxnterpqgmbpxjwbc,toll_station,Trạm thu phí Bình Giang,Trạm thu phí Bình Giang,source_name_conflict,medium,current name differs from OSM name: OSM toll 11946078822,Trạm thu phí Bình Giang | OSM toll 11946078822 | Trạm Thu phí Bình Giang | Trạm Thu phí Bình Giang | Trạm Thu phí Bình Giang | Trạm Thu phí Bình Giang | Trạm thu phí Bình Giang,Hải Phòng,,20.850998,106.202547
vn-toll-gmaps-chijbqk091h9nder80iyuxu9ckq,toll_station,Trạm thu phí Bắc Thăng Long - Nội Bài,Trạm thu phí Bắc Thăng Long - Nội Bài,osm_road_name_as_object_name,medium,matched OSM name looks like road/direction name,Trạm thu phí Bắc Thăng Long - Nội Bài | Đường Võ Văn Kiệt | Trạm Thu phí Bắc Thăng Long - Nội Bài | Trạm Thu phí Bắc Thăng Long - Nội Bài | Trạm thu phí Bắc Thăng Long - Nội Bài,Hà Nội,,21.203178,105.77953
vn-toll-gmaps-chijbqk091h9nder80iyuxu9ckq,toll_station,Trạm thu phí Bắc Thăng Long - Nội Bài,Trạm thu phí Bắc Thăng Long - Nội Bài,source_name_conflict,medium,current name differs from OSM name: Đường Võ Văn Kiệt,Trạm thu phí Bắc Thăng Long - Nội Bài | Đường Võ Văn Kiệt | Trạm Thu phí Bắc Thăng Long - Nội Bài | Trạm Thu phí Bắc Thăng Long - Nội Bài | Trạm thu phí Bắc Thăng Long - Nội Bài,Hà Nội,,21.203178,105.77953
vn-toll-gmaps-chijn4fa8utmcjerr8zi6wu9oiu,toll_station,Trạm thu phí Bến Lức,Trạm thu phí Bến Lức,osm_road_name_as_object_name,medium,matched OSM name looks like road/direction name,Trạm thu phí Bến Lức | Đi Cao tốc Thành phố Hồ Chí Minh - Trung Lương | Trạm Thu phí Bến Lức | Trạm Thu phí Bến Lức | Trạm thu phí Bến Lức,Tây Ninh,,10.656005,106.473537
vn-toll-gmaps-chijn4fa8utmcjerr8zi6wu9oiu,toll_station,Trạm thu phí Bến Lức,Trạm thu phí Bến Lức,source_name_conflict,medium,current name differs from OSM name: Đi Cao tốc Thành phố Hồ Chí Minh - Trung Lương,Trạm thu phí Bến Lức | Đi Cao tốc Thành phố Hồ Chí Minh - Trung Lương | Trạm Thu phí Bến Lức | Trạm Thu phí Bến Lức | Trạm thu phí Bến Lức,Tây Ninh,,10.656005,106.473537
vn-toll-gmaps-chijn4fa8utmcjerr8zi6wu9oiu,toll_station,Trạm thu phí Bến Lức,Trạm thu phí Bến Lức,missing_road_context,low,road context appears in names but road field is empty,Trạm thu phí Bến Lức | Đi Cao tốc Thành phố Hồ Chí Minh - Trung Lương | Trạm Thu phí Bến Lức | Trạm Thu phí Bến Lức | Trạm thu phí Bến Lức,Tây Ninh,,10.656005,106.473537
final-ChIJ-cUWDQN3NjERssQ2fMiAUBw,toll_station,Trạm thu phí Cao Bồ,Trạm thu phí Cao Bồ,osm_road_name_as_object_name,medium,matched OSM name looks like road/direction name,Trạm thu phí Cao Bồ | Đường cao tốc Mai Sơn - Quốc lộ 45 | Trạm thu phí Cao Bồ,,,20.1664286,105.8628399
final-ChIJ-cUWDQN3NjERssQ2fMiAUBw,toll_station,Trạm thu phí Cao Bồ,Trạm thu phí Cao Bồ,source_name_conflict,medium,current name differs from OSM name: Đường cao tốc Mai Sơn - Quốc lộ 45,Trạm thu phí Cao Bồ | Đường cao tốc Mai Sơn - Quốc lộ 45 | Trạm thu phí Cao Bồ,,,20.1664286,105.8628399
final-ChIJ-cUWDQN3NjERssQ2fMiAUBw,toll_station,Trạm thu phí Cao Bồ,Trạm thu phí Cao Bồ,missing_province_context,low,"province is missing, harder to standardize name",Trạm thu phí Cao Bồ | Đường cao tốc Mai Sơn - Quốc lộ 45 | Trạm thu phí Cao Bồ,,,20.1664286,105.8628399
final-ChIJ-cUWDQN3NjERssQ2fMiAUBw,toll_station,Trạm thu phí Cao Bồ,Trạm thu phí Cao Bồ,missing_road_context,low,road context appears in names but road field is empty,Trạm thu phí Cao Bồ | Đường cao tốc Mai Sơn - Quốc lộ 45 | Trạm thu phí Cao Bồ,,,20.1664286,105.8628399
vn-toll-gmaps-chijsdfrx9pxsjershfnq83hhau,toll_station,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,osm_placeholder_name,medium,matched OSM name is placeholder,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính | OSM toll 8544582973 | Cao Tốc Hà Nội - Hải Phòng Qpc7 | Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính | Trạm thu phí cao tốc Hà Nội - Hải Phòng | Trạm thu phí cao tốc Hà Nội - Hải Phòng | Trạm thu phí cao tốc Hà Nội - Hải Phòng | Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,Hà Nội,Cao Tốc Hà Nội - Hải Phòng Qpc7,20.770163,106.712798
vn-toll-gmaps-chijsdfrx9pxsjershfnq83hhau,toll_station,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,multiple_name_variants,medium,found 4 distinct candidate names,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính | OSM toll 8544582973 | Cao Tốc Hà Nội - Hải Phòng Qpc7 | Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính | Trạm thu phí cao tốc Hà Nội - Hải Phòng | Trạm thu phí cao tốc Hà Nội - Hải Phòng | Trạm thu phí cao tốc Hà Nội - Hải Phòng | Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,Hà Nội,Cao Tốc Hà Nội - Hải Phòng Qpc7,20.770163,106.712798
vn-toll-gmaps-chijsdfrx9pxsjershfnq83hhau,toll_station,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,source_name_conflict,medium,current name differs from OSM name: OSM toll 8544582973,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính | OSM toll 8544582973 | Cao Tốc Hà Nội - Hải Phòng Qpc7 | Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính | Trạm thu phí cao tốc Hà Nội - Hải Phòng | Trạm thu phí cao tốc Hà Nội - Hải Phòng | Trạm thu phí cao tốc Hà Nội - Hải Phòng | Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,Hà Nội,Cao Tốc Hà Nội - Hải Phòng Qpc7,20.770163,106.712798
vn-toll-gmaps-chijcwi7ozglnterebneqrz056u,toll_station,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,osm_placeholder_name,medium,matched OSM name is placeholder,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang | OSM toll 1324667567 | Cao Tốc Hà Nội - Hải Phòng Wxjc | Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang | Trạm Thu phí Cao tốc Hà Nội - Hải Phòng | Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,Hà Nội,Cao Tốc Hà Nội - Hải Phòng Wxjc,20.931708,105.971447
vn-toll-gmaps-chijcwi7ozglnterebneqrz056u,toll_station,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,multiple_name_variants,medium,found 4 distinct candidate names,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang | OSM toll 1324667567 | Cao Tốc Hà Nội - Hải Phòng Wxjc | Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang | Trạm Thu phí Cao tốc Hà Nội - Hải Phòng | Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,Hà Nội,Cao Tốc Hà Nội - Hải Phòng Wxjc,20.931708,105.971447
vn-toll-gmaps-chijcwi7ozglnterebneqrz056u,toll_station,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,source_name_conflict,medium,current name differs from OSM name: OSM toll 1324667567,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang | OSM toll 1324667567 | Cao Tốc Hà Nội - Hải Phòng Wxjc | Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang | Trạm Thu phí Cao tốc Hà Nội - Hải Phòng | Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,Hà Nội,Cao Tốc Hà Nội - Hải Phòng Wxjc,20.931708,105.971447
vn-toll-gmaps-chijl6j3blwfszer0pcyadvep-u,toll_station,Trạm thu phí cao tốc Hạ Long - Vân Đồn,Trạm thu phí cao tốc Hạ Long - Vân Đồn,multiple_name_variants,medium,found 4 distinct candidate names,Trạm thu phí cao tốc Hạ Long - Vân Đồn | Trạm Thu phí Đoàn Kết | Cao Tốc Hạ Long - Vân Đồn 39Jv | TRẠM THU PHÍ HẠ LONG VÂN ĐỒN | Trạm thu phí cao tốc Hạ Long - Vân Đồn | Trạm thu phí cao tốc Hạ Long - Vân Đồn,Quảng Ninh,Cao Tốc Hạ Long - Vân Đồn 39Jv,21.082426,107.392871
vn-toll-gmaps-chijzt0yfhjfsjere2wnmcahp3w,toll_station,Trạm thu phí cao tốc Hạ Long - Vân Đồn,Trạm thu phí cao tốc Hạ Long - Vân Đồn,multiple_name_variants,medium,found 3 distinct candidate names,Trạm thu phí cao tốc Hạ Long - Vân Đồn | Trạm Thu phí Việt Hưng | Cao Tốc Hạ Long - Vân Đồn Xxf8 | Trạm thu phí cao tốc Hạ Long - Vân Đồn,Quảng Ninh,Cao Tốc Hạ Long - Vân Đồn Xxf8,20.974346,106.965774
vn-toll-gmaps-chij25u6y96fcjerromg4bcfto0,toll_station,Trạm thu phí cao tốc Trung Lương - Mỹ Thuận,Trạm thu phí cao tốc Trung Lương - Mỹ Thuận,multiple_name_variants,medium,found 4 distinct candidate names,Trạm thu phí cao tốc Trung Lương - Mỹ Thuận | Trạm Thu phí An Thái Trung | Cao Tốc Trung Lương - Mỹ Thuận 8V9J | Trạm Thu phí Cao Tốc Trung Lương - Mỹ Thuận | Trạm Thu phí Cao Tốc Trung Lương - Mỹ Thuận | TRẠM THU PHÍ CAI LẬY ( CAO TỐC TRUNG LƯƠNG- MỸ THUẬN) | Trạm Thu phí Cao Tốc Trung Lương - Mỹ Thuận | Trạm thu phí cao tốc Trung Lương - Mỹ Thuận,Đồng Tháp,Cao Tốc Trung Lương - Mỹ Thuận 8V9J,10.317545,105.880116
vn-toll-clean-079,toll_station,Trạm thu phí Cầu Cổ Chiên,Trạm thu phí Cầu Cổ Chiên,multiple_name_variants,medium,found 3 distinct candidate names,Trạm thu phí Cầu Cổ Chiên | QL60 | Trạm thu phí Cổ Chiên | Trạm Thu phí Cầu Cổ Chiên | Trạm thu phí Cầu Cổ Chiên,Vĩnh Long,QL60,10.0199467,106.2974383
vn-toll-gmaps-chijbyvfm3qkntercjpalln1y8g,toll_station,Trạm thu phí Cầu Hồ,Trạm thu phí Cầu Hồ,multiple_name_variants,medium,found 3 distinct candidate names,Trạm thu phí Cầu Hồ | Trạm Thu Phí Bắc Ninh Hải Dương | QL38 | Trạm Thu phí Cầu Hồ | Trạm Thu phí Cầu Hồ | Trạm Thu phí Cầu Hồ | Trạm Thu phí Cầu Hồ | Trạm thu phí Cầu Hồ,Bắc Ninh,QL38,21.080139,106.092165
final-ChIJcYnshklhoDERkLnRXydRhaw,toll_station,Trạm thu phí Cầu Phú Hữu,Trạm thu phí Cầu Phú Hữu,missing_province_context,low,"province is missing, harder to standardize name",Trạm thu phí Cầu Phú Hữu | Trạm Thu phí Cầu Phú Hữu | Trạm thu phí Cầu Phú Hữu,,,9.9242626,105.8540449
vn-toll-gmaps-chijcdgnmmhdnterei-tfxzxnhk,toll_station,Trạm thu phí Cầu Thái Hà,Trạm thu phí Cầu Thái Hà,osm_placeholder_name,medium,matched OSM name is placeholder,Trạm thu phí Cầu Thái Hà | OSM toll 13338380133 | Trạm Thu phí Cầu Thái Hà | Trạm Thu phí Cầu Thái Hà | Trạm thu phí Cầu Thái Hà,Hưng Yên,,20.590872,106.139251
vn-toll-gmaps-chijcdgnmmhdnterei-tfxzxnhk,toll_station,Trạm thu phí Cầu Thái Hà,Trạm thu phí Cầu Thái Hà,source_name_conflict,medium,current name differs from OSM name: OSM toll 13338380133,Trạm thu phí Cầu Thái Hà | OSM toll 13338380133 | Trạm Thu phí Cầu Thái Hà | Trạm Thu phí Cầu Thái Hà | Trạm thu phí Cầu Thái Hà,Hưng Yên,,20.590872,106.139251
vn-toll-gmaps-chijsdenahanndersdrkmfp5jxw,toll_station,Trạm thu phí Cầu Văn Lang,Trạm thu phí Cầu Văn Lang,osm_placeholder_name,medium,matched OSM name is placeholder,Trạm thu phí Cầu Văn Lang | OSM toll 6563222996 | Trạm Thu phí Cầu Văn Lang | Trạm Thu phí Cầu Văn Lang | Trạm thu phí Cầu Văn Lang (QL32 – QL32C) | Trạm Thu phí Cầu Văn Lang | Trạm thu phí Cầu Văn Lang,Hà Nội,,21.285532,105.404046
vn-toll-gmaps-chijsdenahanndersdrkmfp5jxw,toll_station,Trạm thu phí Cầu Văn Lang,Trạm thu phí Cầu Văn Lang,multiple_name_variants,medium,found 3 distinct candidate names,Trạm thu phí Cầu Văn Lang | OSM toll 6563222996 | Trạm Thu phí Cầu Văn Lang | Trạm Thu phí Cầu Văn Lang | Trạm thu phí Cầu Văn Lang (QL32 – QL32C) | Trạm Thu phí Cầu Văn Lang | Trạm thu phí Cầu Văn Lang,Hà Nội,,21.285532,105.404046
vn-toll-gmaps-chijsdenahanndersdrkmfp5jxw,toll_station,Trạm thu phí Cầu Văn Lang,Trạm thu phí Cầu Văn Lang,source_name_conflict,medium,current name differs from OSM name: OSM toll 6563222996,Trạm thu phí Cầu Văn Lang | OSM toll 6563222996 | Trạm Thu phí Cầu Văn Lang | Trạm Thu phí Cầu Văn Lang | Trạm thu phí Cầu Văn Lang (QL32 – QL32C) | Trạm Thu phí Cầu Văn Lang | Trạm thu phí Cầu Văn Lang,Hà Nội,,21.285532,105.404046
vn-toll-gmaps-chijsdenahanndersdrkmfp5jxw,toll_station,Trạm thu phí Cầu Văn Lang,Trạm thu phí Cầu Văn Lang,missing_road_context,low,road context appears in names but road field is empty,Trạm thu phí Cầu Văn Lang | OSM toll 6563222996 | Trạm Thu phí Cầu Văn Lang | Trạm Thu phí Cầu Văn Lang | Trạm thu phí Cầu Văn Lang (QL32 – QL32C) | Trạm Thu phí Cầu Văn Lang | Trạm thu phí Cầu Văn Lang,Hà Nội,,21.285532,105.404046
vn-toll-gmaps-chijpud-awdhnteraukymvq-3di,toll_station,Trạm thu phí Cầu Yên Lệnh,Trạm thu phí Cầu Yên Lệnh,osm_placeholder_name,medium,matched OSM name is placeholder,Trạm thu phí Cầu Yên Lệnh | OSM toll 10198957829 | QL38 | Trạm Thu phí Cầu Yên Lệnh | Trạm Thu phí Cầu Yên Lệnh | Trạm Thu phí Cầu Yên Lệnh | Trạm Thu phí Cầu Yên Lệnh | Trạm thu phí Cầu Yên Lệnh,Hưng Yên,QL38,20.658939,106.048984
vn-toll-gmaps-chijpud-awdhnteraukymvq-3di,toll_station,Trạm thu phí Cầu Yên Lệnh,Trạm thu phí Cầu Yên Lệnh,multiple_name_variants,medium,found 3 distinct candidate names,Trạm thu phí Cầu Yên Lệnh | OSM toll 10198957829 | QL38 | Trạm Thu phí Cầu Yên Lệnh | Trạm Thu phí Cầu Yên Lệnh | Trạm Thu phí Cầu Yên Lệnh | Trạm Thu phí Cầu Yên Lệnh | Trạm thu phí Cầu Yên Lệnh,Hưng Yên,QL38,20.658939,106.048984
vn-toll-gmaps-chijpud-awdhnteraukymvq-3di,toll_station,Trạm thu phí Cầu Yên Lệnh,Trạm thu phí Cầu Yên Lệnh,source_name_conflict,medium,current name differs from OSM name: OSM toll 10198957829,Trạm thu phí Cầu Yên Lệnh | OSM toll 10198957829 | QL38 | Trạm Thu phí Cầu Yên Lệnh | Trạm Thu phí Cầu Yên Lệnh | Trạm Thu phí Cầu Yên Lệnh | Trạm Thu phí Cầu Yên Lệnh | Trạm thu phí Cầu Yên Lệnh,Hưng Yên,QL38,20.658939,106.048984
