object_id,object_type,lat,lon,current_name,suggested_name,suggested_action,suggestion_reason,issue_count,issue_types,candidate_names,province,road,address,osm_id,osm_name,google_place_id,source_datasets,reviewed_name,review_status,review_note,ai_suggested_name,ai_confidence,ai_reason
vn-toll-gmaps-chiju33vcouzdterplbzmsffqdo,toll_station,10.768771,106.92285,Trạm thu phí 319 HLD,Trạm thu phí 319 HLD,keep,current name matches Google better than OSM,3,osm_placeholder_name;multiple_name_variants;source_name_conflict,Trạm thu phí 319 HLD | OSM toll 1223191092 | Trạm Thu phí 319 HLD | Trạm Thu phí 319 HLD | TRẠM THU PHÍ BOT 319 | Trạm Thu phí 319 HLD | Trạm thu phí 319 HLD,Đồng Nai,,"Ngã 3, Bến Cam, Nhơn Trạch, Đồng Nai, Việt Nam",vn-toll-osm-1223191092,OSM toll 1223191092,ChIJu33VcOUZdTERpLbzmSFFqDo,A_colleague;B_final,,,,,,
vn-toll-gmaps-chij29z21fwxbzersldvctwexyc,toll_station,13.3493,109.208309,Trạm thu phí An Dân,Trạm thu phí An Dân,keep,current name is acceptable by rules,1,multiple_name_variants,Trạm thu phí An Dân | Trạm Thu Phí An Dân (Thạch Bàn) | QL1A | Trạm thu phí An Dân,Đắk Lắk,QL1A,"86X5+P87 Trạm Thu phí An Dân, QL1A, Tuy An Bắc, Đắk Lắk, Việt Nam",vn-toll-osm-8436783101,Trạm Thu Phí An Dân (Thạch Bàn),ChIJ29z21fWXbzERSLDVctWeXyc,B_final,,,,,,
vn-toll-gmaps-chijzau1-ogfcjer9vtfj6wdmti,toll_station,10.317215,105.885382,Trạm thu phí An Hữu - cao tốc Mỹ Thuận - Cần Thơ,Trạm thu phí An Hữu - cao tốc Mỹ Thuận - Cần Thơ,keep,current name is acceptable by rules,1,multiple_name_variants,Trạm thu phí An Hữu - cao tốc Mỹ Thuận - Cần Thơ | Trạm Thu phí An Thái Trung | Cao Tốc 8V8P | Trạm thu phí An Hữu - cao tốc Mỹ Thuận - Cần Thơ | Trạm thu phí lối vào cao tốc | Trạm Thu phí An Thái Trung ( cục vàng đứng 24/24) | Trạm Thu phí An Thái Trung ( cục vàng đứng 24/24) | Trạm thu phí An Hữu - cao tốc Mỹ Thuận - Cần Thơ,Đồng Tháp,Cao Tốc 8V8P,"8V8P+95Q Trạm thu phí lối vào cao tốc, Thanh Hưng, Đồng Tháp, Việt Nam",vn-toll-osm-13594609049,Trạm Thu phí An Thái Trung,ChIJzau1-oGFCjER9VtFj6WDmtI,A_colleague;B_final,,,,,,
vn-toll-gmaps-chijs7u-3i-jcternihgdqa3bji,toll_station,12.830902,108.248057,Trạm thu phí BOT Quang Đức Quốc lộ 14,Trạm thu phí BOT Quang Đức Quốc lộ 14,keep,current name matches Google better than OSM,3,osm_placeholder_name;multiple_name_variants;source_name_conflict,Trạm thu phí BOT Quang Đức Quốc lộ 14 | OSM toll 13077408419 | QL14 | Trạm Thu Phí BOT Quang Đức QL14 | Trạm Thu Phí BOT Quang Đức QL14 | Trạm thu phí BOT Quang Đức Quốc lộ 14,Đắk Lắk,QL14,"R6JX+967 Trạm Thu Phí BOT Quang Đức QL14, Hùng Vương, Cư Bao, Đắk Lắk, Việt Nam",vn-toll-osm-13077408419,OSM toll 13077408419,ChIJs7U-3i_jcTERNihgdqa3bJI,B_final,,,,,,
vn-toll-gmaps-chijcvemggcxnterpqgmbpxjwbc,toll_station,20.850998,106.202547,Trạm thu phí Bình Giang,Trạm thu phí Bình Giang,keep,current name matches Google better than OSM,2,osm_placeholder_name;source_name_conflict,Trạm thu phí Bình Giang | OSM toll 11946078822 | Trạm Thu phí Bình Giang | Trạm Thu phí Bình Giang | Trạm Thu phí Bình Giang | Trạm Thu phí Bình Giang | Trạm thu phí Bình Giang,Hải Phòng,,"V622+GR Trạm Thu phí Bình Giang, Nguyễn Lương Bằng, Hải Phòng, Việt Nam",vn-toll-osm-11946078822,OSM toll 11946078822,ChIJCVeMGgCXNTERPQGmbpXJwbc,A_colleague;B_final,,,,,,
vn-toll-gmaps-chijbqk091h9nder80iyuxu9ckq,toll_station,21.203178,105.77953,Trạm thu phí Bắc Thăng Long - Nội Bài,Trạm thu phí Bắc Thăng Long - Nội Bài,keep,current name is acceptable by rules,2,osm_road_name_as_object_name;source_name_conflict,Trạm thu phí Bắc Thăng Long - Nội Bài | Đường Võ Văn Kiệt | Trạm Thu phí Bắc Thăng Long - Nội Bài | Trạm Thu phí Bắc Thăng Long - Nội Bài | Trạm thu phí Bắc Thăng Long - Nội Bài,Hà Nội,,"6Q3H+7RC Trạm Thu phí Bắc Thăng Long - Nội Bài, Đ. Võ Văn Kiệt, Nội Bài, Hà Nội, Việt Nam",vn-toll-osm-1337380557,Đường Võ Văn Kiệt,ChIJBQK091H9NDER80IYuxU9CkQ,A_colleague;B_final,,,,,,
vn-toll-gmaps-chijn4fa8utmcjerr8zi6wu9oiu,toll_station,10.656005,106.473537,Trạm thu phí Bến Lức,Trạm thu phí Bến Lức,keep,current name is acceptable by rules,3,osm_road_name_as_object_name;source_name_conflict;missing_road_context,Trạm thu phí Bến Lức | Đi Cao tốc Thành phố Hồ Chí Minh - Trung Lương | Trạm Thu phí Bến Lức | Trạm Thu phí Bến Lức | Trạm thu phí Bến Lức,Tây Ninh,,"Trạm thu phí, Bến Lức, Tây Ninh, Việt Nam",vn-toll-osm-472356996,Đi Cao tốc Thành phố Hồ Chí Minh - Trung Lương,ChIJN4FA8UTMCjERR8ZI6wu9oiU,A_colleague;B_final,,,,,,
final-ChIJ-cUWDQN3NjERssQ2fMiAUBw,toll_station,20.1664286,105.8628399,Trạm thu phí Cao Bồ,Trạm thu phí Cao Bồ,keep,current name is acceptable by rules,4,osm_road_name_as_object_name;source_name_conflict;missing_province_context;missing_road_context,Trạm thu phí Cao Bồ | Đường cao tốc Mai Sơn - Quốc lộ 45 | Trạm thu phí Cao Bồ,,,,vn-toll-osm-1483493038,Đường cao tốc Mai Sơn - Quốc lộ 45,ChIJ-cUWDQN3NjERssQ2fMiAUBw,B_final,,,,,,
vn-toll-gmaps-chijsdfrx9pxsjershfnq83hhau,toll_station,20.770163,106.712798,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,keep,current name matches Google better than OSM,3,osm_placeholder_name;multiple_name_variants;source_name_conflict,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính | OSM toll 8544582973 | Cao Tốc Hà Nội - Hải Phòng Qpc7 | Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính | Trạm thu phí cao tốc Hà Nội - Hải Phòng | Trạm thu phí cao tốc Hà Nội - Hải Phòng | Trạm thu phí cao tốc Hà Nội - Hải Phòng | Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,Hà Nội,Cao Tốc Hà Nội - Hải Phòng Qpc7,"QPC7+347 Trạm thu phí cao tốc Hà Nội - Hải Phòng, CT04, Dương Kinh, Hải Phòng, Việt Nam",vn-toll-osm-8544582973,OSM toll 8544582973,ChIJSdFRX9pxSjERShfNQ83HhaU,A_colleague;B_final,,,,,,
vn-toll-gmaps-chijcwi7ozglnterebneqrz056u,toll_station,20.931708,105.971447,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,keep,current name matches Google better than OSM,3,osm_placeholder_name;multiple_name_variants;source_name_conflict,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang | OSM toll 1324667567 | Cao Tốc Hà Nội - Hải Phòng Wxjc | Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang | Trạm Thu phí Cao tốc Hà Nội - Hải Phòng | Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,Hà Nội,Cao Tốc Hà Nội - Hải Phòng Wxjc,"WXJC+MHP Trạm Thu phí Cao tốc Hà Nội - Hải Phòng, CT04, Văn Giang, Hưng Yên, Việt Nam",vn-toll-osm-1324667567,OSM toll 1324667567,ChIJCwI7OZGlNTEREBNeQrZ056U,B_final,,,,,,
