object_id,object_type,lat,lon,current_name,candidate_names,issue_types,rule_suggested_name,rule_suggested_action,ai_suggested_name,ai_action_original,ai_action_final,ai_confidence,ai_reason,final_review_decision,final_name,reviewer_note
vn-toll-gmaps-chiju33vcouzdterplbzmsffqdo,toll_station,10.768771,106.92285,Trạm thu phí 319 HLD,Trạm thu phí 319 HLD | OSM toll 1223191092 | Trạm Thu phí 319 HLD | Trạm Thu phí 319 HLD | TRẠM THU PHÍ BOT 319 | Trạm Thu phí 319 HLD | Trạm thu phí 319 HLD,osm_placeholder_name;multiple_name_variants;source_name_conflict,Trạm thu phí 319 HLD,keep,Trạm thu phí 319 HLD,keep,keep,0.9,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không có bằng chứng sai lệch.",keep,Trạm thu phí 319 HLD,
vn-toll-gmaps-chij29z21fwxbzersldvctwexyc,toll_station,13.3493,109.208309,Trạm thu phí An Dân,Trạm thu phí An Dân | Trạm Thu Phí An Dân (Thạch Bàn) | QL1A | Trạm thu phí An Dân,multiple_name_variants,Trạm thu phí An Dân,keep,Trạm thu phí An Dân,keep,keep,0.9,Tên hiện tại đã rõ và khớp với nguồn Google/current.,keep,Trạm thu phí An Dân,
vn-toll-gmaps-chijzau1-ogfcjer9vtfj6wdmti,toll_station,10.317215,105.885382,Trạm thu phí An Hữu - cao tốc Mỹ Thuận - Cần Thơ,Trạm thu phí An Hữu - cao tốc Mỹ Thuận - Cần Thơ | Trạm Thu phí An Thái Trung | Cao Tốc 8V8P | Trạm thu phí An Hữu - cao tốc Mỹ Thuận - Cần Thơ | Trạm thu phí lối vào cao tốc | Trạm Thu phí An Thái Trung ( cục vàng đứng 24/24) | Trạm Thu phí An Thái Trung ( cục vàng đứng 24/24) | Trạm thu phí An Hữu - cao tốc Mỹ Thuận - Cần Thơ,multiple_name_variants,Trạm thu phí An Hữu - cao tốc Mỹ Thuận - Cần Thơ,keep,Trạm thu phí An Hữu - cao tốc Mỹ Thuận - Cần Thơ,keep,keep,0.9,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không có bằng chứng nào cho thấy tên này sai.",keep,Trạm thu phí An Hữu - cao tốc Mỹ Thuận - Cần Thơ,
vn-toll-gmaps-chijs7u-3i-jcternihgdqa3bji,toll_station,12.830902,108.248057,Trạm thu phí BOT Quang Đức Quốc lộ 14,Trạm thu phí BOT Quang Đức Quốc lộ 14 | OSM toll 13077408419 | QL14 | Trạm Thu Phí BOT Quang Đức QL14 | Trạm Thu Phí BOT Quang Đức QL14 | Trạm thu phí BOT Quang Đức Quốc lộ 14,osm_placeholder_name;multiple_name_variants;source_name_conflict,Trạm thu phí BOT Quang Đức Quốc lộ 14,keep,Trạm thu phí BOT Quang Đức Quốc lộ 14,keep,keep,0.9,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không có bằng chứng sai lệch.",keep,Trạm thu phí BOT Quang Đức Quốc lộ 14,
vn-toll-gmaps-chijcvemggcxnterpqgmbpxjwbc,toll_station,20.850998,106.202547,Trạm thu phí Bình Giang,Trạm thu phí Bình Giang | OSM toll 11946078822 | Trạm Thu phí Bình Giang | Trạm Thu phí Bình Giang | Trạm Thu phí Bình Giang | Trạm Thu phí Bình Giang | Trạm thu phí Bình Giang,osm_placeholder_name;source_name_conflict,Trạm thu phí Bình Giang,keep,Trạm thu phí Bình Giang,keep,keep,0.9,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không có bằng chứng nào cho thấy tên này sai.",keep,Trạm thu phí Bình Giang,
vn-toll-gmaps-chijbqk091h9nder80iyuxu9ckq,toll_station,21.203178,105.77953,Trạm thu phí Bắc Thăng Long - Nội Bài,Trạm thu phí Bắc Thăng Long - Nội Bài | Đường Võ Văn Kiệt | Trạm Thu phí Bắc Thăng Long - Nội Bài | Trạm Thu phí Bắc Thăng Long - Nội Bài | Trạm thu phí Bắc Thăng Long - Nội Bài,osm_road_name_as_object_name;source_name_conflict,Trạm thu phí Bắc Thăng Long - Nội Bài,keep,Trạm thu phí Bắc Thăng Long - Nội Bài,keep,keep,0.95,Tên hiện tại đã rõ ràng và khớp với nguồn Google/current.,keep,Trạm thu phí Bắc Thăng Long - Nội Bài,
vn-toll-gmaps-chijn4fa8utmcjerr8zi6wu9oiu,toll_station,10.656005,106.473537,Trạm thu phí Bến Lức,Trạm thu phí Bến Lức | Đi Cao tốc Thành phố Hồ Chí Minh - Trung Lương | Trạm Thu phí Bến Lức | Trạm Thu phí Bến Lức | Trạm thu phí Bến Lức,osm_road_name_as_object_name;source_name_conflict;missing_road_context,Trạm thu phí Bến Lức,keep,Trạm thu phí Bến Lức,keep,keep,0.9,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không cần thay đổi.",keep,Trạm thu phí Bến Lức,
final-ChIJ-cUWDQN3NjERssQ2fMiAUBw,toll_station,20.1664286,105.8628399,Trạm thu phí Cao Bồ,Trạm thu phí Cao Bồ | Đường cao tốc Mai Sơn - Quốc lộ 45 | Trạm thu phí Cao Bồ,osm_road_name_as_object_name;source_name_conflict;missing_province_context;missing_road_context,Trạm thu phí Cao Bồ,keep,Trạm thu phí Cao Bồ,keep,keep,0.9,"Tên hiện tại đã rõ và khớp với nguồn Google/current, không cần thay đổi.",keep,Trạm thu phí Cao Bồ,
vn-toll-gmaps-chijsdfrx9pxsjershfnq83hhau,toll_station,20.770163,106.712798,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính | OSM toll 8544582973 | Cao Tốc Hà Nội - Hải Phòng Qpc7 | Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính | Trạm thu phí cao tốc Hà Nội - Hải Phòng | Trạm thu phí cao tốc Hà Nội - Hải Phòng | Trạm thu phí cao tốc Hà Nội - Hải Phòng | Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,osm_placeholder_name;multiple_name_variants;source_name_conflict,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,keep,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,keep,keep,0.9,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không có bằng chứng sai lệch.",keep,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Dương Kính,
vn-toll-gmaps-chijcwi7ozglnterebneqrz056u,toll_station,20.931708,105.971447,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang | OSM toll 1324667567 | Cao Tốc Hà Nội - Hải Phòng Wxjc | Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang | Trạm Thu phí Cao tốc Hà Nội - Hải Phòng | Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,osm_placeholder_name;multiple_name_variants;source_name_conflict,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,keep,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,keep,keep,0.9,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không có bằng chứng sai lệch.",keep,Trạm thu phí cao tốc Hà Nội - Hải Phòng - Văn Giang,
vn-toll-gmaps-chijl6j3blwfszer0pcyadvep-u,toll_station,21.082426,107.392871,Trạm thu phí cao tốc Hạ Long - Vân Đồn,Trạm thu phí cao tốc Hạ Long - Vân Đồn | Trạm Thu phí Đoàn Kết | Cao Tốc Hạ Long - Vân Đồn 39Jv | TRẠM THU PHÍ HẠ LONG VÂN ĐỒN | Trạm thu phí cao tốc Hạ Long - Vân Đồn | Trạm thu phí cao tốc Hạ Long - Vân Đồn,multiple_name_variants,Trạm thu phí cao tốc Hạ Long - Vân Đồn,keep,Trạm thu phí cao tốc Hạ Long - Vân Đồn,keep,keep,0.95,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không có bằng chứng sai lệch.",keep,Trạm thu phí cao tốc Hạ Long - Vân Đồn,
vn-toll-gmaps-chijzt0yfhjfsjere2wnmcahp3w,toll_station,20.974346,106.965774,Trạm thu phí cao tốc Hạ Long - Vân Đồn,Trạm thu phí cao tốc Hạ Long - Vân Đồn | Trạm Thu phí Việt Hưng | Cao Tốc Hạ Long - Vân Đồn Xxf8 | Trạm thu phí cao tốc Hạ Long - Vân Đồn,multiple_name_variants,Trạm thu phí cao tốc Hạ Long - Vân Đồn,keep,Trạm thu phí cao tốc Hạ Long - Vân Đồn,keep,keep,0.95,Tên hiện tại đã rõ ràng và khớp với nguồn Google/current.,keep,Trạm thu phí cao tốc Hạ Long - Vân Đồn,
vn-toll-gmaps-chij25u6y96fcjerromg4bcfto0,toll_station,10.317545,105.880116,Trạm thu phí cao tốc Trung Lương - Mỹ Thuận,Trạm thu phí cao tốc Trung Lương - Mỹ Thuận | Trạm Thu phí An Thái Trung | Cao Tốc Trung Lương - Mỹ Thuận 8V9J | Trạm Thu phí Cao Tốc Trung Lương - Mỹ Thuận | Trạm Thu phí Cao Tốc Trung Lương - Mỹ Thuận | TRẠM THU PHÍ CAI LẬY ( CAO TỐC TRUNG LƯƠNG- MỸ THUẬN) | Trạm Thu phí Cao Tốc Trung Lương - Mỹ Thuận | Trạm thu phí cao tốc Trung Lương - Mỹ Thuận,multiple_name_variants,Trạm thu phí cao tốc Trung Lương - Mỹ Thuận,keep,Trạm thu phí cao tốc Trung Lương - Mỹ Thuận,keep,keep,0.9,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không có bằng chứng nào cho thấy tên này sai.",keep,Trạm thu phí cao tốc Trung Lương - Mỹ Thuận,
vn-toll-clean-079,toll_station,10.0199467,106.2974383,Trạm thu phí Cầu Cổ Chiên,Trạm thu phí Cầu Cổ Chiên | QL60 | Trạm thu phí Cổ Chiên | Trạm Thu phí Cầu Cổ Chiên | Trạm thu phí Cầu Cổ Chiên,multiple_name_variants,Trạm thu phí Cầu Cổ Chiên,keep,Trạm thu phí Cầu Cổ Chiên,keep,keep,0.95,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không có bằng chứng sai lệch.",keep,Trạm thu phí Cầu Cổ Chiên,
vn-toll-gmaps-chijbyvfm3qkntercjpalln1y8g,toll_station,21.080139,106.092165,Trạm thu phí Cầu Hồ,Trạm thu phí Cầu Hồ | Trạm Thu Phí Bắc Ninh Hải Dương | QL38 | Trạm Thu phí Cầu Hồ | Trạm Thu phí Cầu Hồ | Trạm Thu phí Cầu Hồ | Trạm Thu phí Cầu Hồ | Trạm thu phí Cầu Hồ,multiple_name_variants,Trạm thu phí Cầu Hồ,keep,Trạm thu phí Cầu Hồ,keep,keep,0.9,"Tên hiện tại đã rõ ràng và khớp với nguồn Google/current, không có bằng chứng nào cho thấy tên này sai.",keep,Trạm thu phí Cầu Hồ,
